Date;Time;Speed;Running;Battery Voltage;GSM signal strength;Odometer (Server);Satellites;Temperature A;Humidity A
2017-06-05;21:17;;;74;84;;10;19.8;45
2017-06-05;21:22;;;74;81;;10;19.6;45.6
2017-06-05;21:27;;;74;84;;9;19.5;45.6
2017-06-05;21:32;;;70;84;;12;19.5;45.6
2017-06-05;21:37;;;74;87;;12;19.4;45.6
2017-06-05;21:42;;;74;84;;11;19.3;45.6
2017-06-05;21:47;;;74;87;;10;19.1;45.6
2017-06-05;21:52;;;70;84;;12;19.1;46.8
2017-06-05;21:57;;;70;87;;12;19;45.6
2017-06-05;22:02;;;70;84;;10;18.8;45.6
2017-06-05;22:07;;;70;84;;10;18.8;46.2
2017-06-05;22:12;;;70;87;;10;18.6;46.1
2017-06-05;22:13;;;;84;;;;
2017-06-05;22:17;;;70;87;;10;18.6;46.1
2017-06-05;22:22;;;70;87;;10;18.5;45.5
2017-06-05;22:27;;;70;87;;9;18.4;45.5
2017-06-05;22:32;;;70;87;;9;18.3;46.1
2017-06-05;22:37;;;70;87;;10;18.1;45.5
2017-06-05;22:42;;;70;81;;12;18.1;46.1
2017-06-05;22:47;;;70;84;;11;18;46.1
2017-06-05;22:52;;;70;87;;12;17.8;46.1
2017-06-05;22:57;;;70;84;;11;17.8;46.1
2017-06-05;23:02;;;70;84;;10;17.6;46
2017-06-05;23:07;;;70;87;;11;17.5;46
2017-06-05;23:12;;;70;87;;10;17.5;46
2017-06-05;23:13;;;;;;9;;46.6
2017-06-05;23:17;;;70;87;;12;17.3;46
2017-06-05;23:22;;;70;84;;11;17.3;46
2017-06-05;23:27;;;67;84;;11;17.2;46
2017-06-05;23:32;;;70;87;;10;17.1;46.6
2017-06-05;23:37;;;70;84;;12;17;46
2017-06-05;23:42;;;70;87;;12;16.9;46
2017-06-05;23:47;;;67;84;;12;16.8;46.6
2017-06-05;23:52;;;67;84;;15;16.6;46.6
2017-06-05;23:57;;;67;84;;16;16.6;46.6
2017-06-06;00:02;;;67;87;;14;16.5;46.5
2017-06-06;00:07;;;67;87;;14;16.5;46.5
2017-06-06;00:12;;;67;87;;13;16.3;46.5
2017-06-06;00:13;;;;;;15;;
2017-06-06;00:17;;;67;87;;12;16.3;45.9
2017-06-06;00:22;;;67;87;;12;16.2;46.5
2017-06-06;00:27;;;67;87;;12;16.1;46.5
2017-06-06;00:32;;;67;87;;15;16.1;46.5
2017-06-06;00:37;;;67;87;;11;16;47.1
2017-06-06;00:42;;;67;87;;13;15.9;46.5
2017-06-06;00:47;;;67;87;;12;15.8;47.1
2017-06-06;00:52;;;67;87;;12;15.8;46.5
2017-06-06;00:57;;;67;87;;11;15.7;47.1
2017-06-06;01:02;;;64;87;;11;15.6;47.1
2017-06-06;01:07;;;67;87;;12;15.6;47.1
2017-06-06;01:12;;;64;87;;14;15.5;46.4
2017-06-06;01:13;;;67;;;13;;
2017-06-06;01:17;;;;87;;11;15.5;46.4
2017-06-06;01:22;;;64;87;;13;15.4;46.4
2017-06-06;01:27;;;64;87;;13;15.3;47
2017-06-06;01:32;;;64;87;;12;15.3;46.4
2017-06-06;01:37;;;64;87;;13;15.3;46.4
